表別,地價區段,修正細項,填寫值,資料來源,計算/查表依據,基準表項目ID,狀態
表3,P002-00,有無限制建築（整體開發、面積限制、高度限制……等）,1／3級（優）,表3 實測：無,基準表級距：無限制建築,shulin.regional.build_restrict,確認
表3,P002-00,主要道路寬度,5／5級（劣）,表3 實測：名稱：樹人街 寬度：7M,基準表級距：未滿8m,shulin.regional.main_road_width,確認
表3,P002-00,區段內道路平均寬度,5／5級（劣）,表3 實測：6M,基準表級距：未滿8m,shulin.regional.avg_road_width,確認
表3,P002-00,區段內道路規劃及闢建程度,3／5級（普通）,表3 實測：部分規劃及闢建,基準表級距：部分規劃及闢建,shulin.regional.road_dev,確認
表3,P002-00,日照,1／5級（優）,表3 實測：充分,基準表級距：充分,shulin.regional.sunlight,確認
表3,P002-00,景觀,3／5級（普通）,表3 實測：視野、景觀尚可,基準表級距：視野、景觀尚可,shulin.regional.view,確認
表3,P002-00,傾斜度,1／5級（優）,表3 實測：平均坡度未滿5度,基準表級距：平均坡度未滿5度,shulin.regional.slope,確認
表3,P002-00,排水之良否,3／5級（普通）,表3 實測：普通完善,基準表級距：普通完善,shulin.regional.drainage,確認
表3,P002-00,地勢,1／5級（優）,表3 實測：極平坦堅硬,基準表級距：極平坦堅硬,shulin.regional.terrain,確認
表3,P002-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,1／5級（優）,表3 實測：勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,基準表級距：四項以上,shulin.regional.land_improve,確認
表3,P003-00,都市計畫（內、外）,1／2級（優）,表3 實測：都市計畫內,基準表級距：都市計畫內,shulin.regional.urban_plan,確認
表3,P003-00,使用分區（使用地類別）,2／5級（稍優）,表3 實測：第一種住宅區,基準表級距：住宅區、市場用地,shulin.regional.zoning,確認
表3,P003-00,建蔽率,4／5級（稍劣）,表3 實測：50%,基準表級距：50%以上未滿60%,shulin.regional.bcr,確認
表3,P003-00,容積率,3／5級（普通）,表3 實測：260%,基準表級距：260%以上未滿360%,shulin.regional.far,確認
表3,P003-00,有無禁止建築,1／2級（優）,表3 實測：無,基準表級距：無禁止建築,shulin.regional.build_ban,確認
表3,P003-00,有無限制建築（整體開發、面積限制、高度限制……等）,1／3級（優）,表3 實測：無,基準表級距：無限制建築,shulin.regional.build_restrict,確認
表3,P003-00,主要道路寬度,4／5級（稍劣）,表3 實測：東榮街 寬度：10M,基準表級距：8m以上未滿12m,shulin.regional.main_road_width,確認
表3,P003-00,區段內道路平均寬度,5／5級（劣）,表3 實測：7M,基準表級距：未滿8m,shulin.regional.avg_road_width,確認
表3,P003-00,區段內道路規劃及闢建程度,1／5級（優）,表3 實測：全部規劃及闢建,基準表級距：全部規劃及闢建,shulin.regional.road_dev,確認
表3,P003-00,日照,1／5級（優）,表3 實測：充分,基準表級距：充分,shulin.regional.sunlight,確認
表3,P003-00,景觀,3／5級（普通）,表3 實測：視野、景觀尚可,基準表級距：視野、景觀尚可,shulin.regional.view,確認
表3,P003-00,傾斜度,1／5級（優）,表3 實測：平均坡度未滿5度,基準表級距：平均坡度未滿5度,shulin.regional.slope,確認
表3,P003-00,排水之良否,3／5級（普通）,表3 實測：普通完善,基準表級距：普通完善,shulin.regional.drainage,確認
表3,P003-00,地勢,1／5級（優）,表3 實測：極平坦堅硬,基準表級距：極平坦堅硬,shulin.regional.terrain,確認
表3,P003-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,1／5級（優）,表3 實測：勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,基準表級距：四項以上,shulin.regional.land_improve,確認
表3,P004-00,都市計畫（內、外）,1／2級（優）,表3 實測：都市計畫內,基準表級距：都市計畫內,shulin.regional.urban_plan,確認
表3,P004-00,使用分區（使用地類別）,2／5級（稍優）,表3 實測：第一種住宅區,基準表級距：住宅區、市場用地,shulin.regional.zoning,確認
表3,P004-00,建蔽率,4／5級（稍劣）,表3 實測：50%,基準表級距：50%以上未滿60%,shulin.regional.bcr,確認
表3,P004-00,容積率,3／5級（普通）,表3 實測：260%,基準表級距：260%以上未滿360%,shulin.regional.far,確認
表3,P004-00,有無禁止建築,1／2級（優）,表3 實測：無,基準表級距：無禁止建築,shulin.regional.build_ban,確認
表3,P004-00,有無限制建築（整體開發、面積限制、高度限制……等）,1／3級（優）,表3 實測：無,基準表級距：無限制建築,shulin.regional.build_restrict,確認
表3,P004-00,主要道路寬度,4／5級（稍劣）,表3 實測：名稱：潭興街 寬度：10M,基準表級距：8m以上未滿12m,shulin.regional.main_road_width,確認
表3,P004-00,區段內道路平均寬度,5／5級（劣）,表3 實測：7M,基準表級距：未滿8m,shulin.regional.avg_road_width,確認
表3,P004-00,區段內道路規劃及闢建程度,1／5級（優）,表3 實測：全部規劃及闢建,基準表級距：全部規劃及闢建,shulin.regional.road_dev,確認
表3,P004-00,日照,1／5級（優）,表3 實測：充分,基準表級距：充分,shulin.regional.sunlight,確認
表3,P004-00,景觀,3／5級（普通）,表3 實測：視野、景觀尚可,基準表級距：視野、景觀尚可,shulin.regional.view,確認
表3,P004-00,傾斜度,1／5級（優）,表3 實測：平均坡度未滿5度,基準表級距：平均坡度未滿5度,shulin.regional.slope,確認
表3,P004-00,排水之良否,3／5級（普通）,表3 實測：普通完善,基準表級距：普通完善,shulin.regional.drainage,確認
表3,P004-00,地勢,1／5級（優）,表3 實測：極平坦堅硬,基準表級距：極平坦堅硬,shulin.regional.terrain,確認
表3,P004-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,1／5級（優）,表3 實測：勾選 4 項：整平或填挖基地、開挖水溝、鋪築道路、埋設管道,基準表級距：四項以上,shulin.regional.land_improve,確認
表5,P002-00,都市計畫（內、外）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±20.0%，級距 20.0%；(1-1)×20.0,shulin.regional.urban_plan,確認
表5,P003-00,都市計畫（內、外）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±20.0%，級距 20.0%；(1-1)×20.0,shulin.regional.urban_plan,確認
表5,P004-00,都市計畫（內、外）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±20.0%，級距 20.0%；(1-1)×20.0,shulin.regional.urban_plan,確認
表5,P002-00,使用分區（使用地類別）,+0.00%,比準地 P001-00 稍優(2) ／ 比較標的 稍優(2),查表：5級，最大±20.0%，級距 5.0%；(2-2)×5.0,shulin.regional.zoning,確認
表5,P003-00,使用分區（使用地類別）,+0.00%,比準地 P001-00 稍優(2) ／ 比較標的 稍優(2),查表：5級，最大±20.0%，級距 5.0%；(2-2)×5.0,shulin.regional.zoning,確認
表5,P004-00,使用分區（使用地類別）,+0.00%,比準地 P001-00 稍優(2) ／ 比較標的 稍優(2),查表：5級，最大±20.0%，級距 5.0%；(2-2)×5.0,shulin.regional.zoning,確認
表5,P002-00,建蔽率,+0.00%,比準地 P001-00 稍劣(4) ／ 比較標的 稍劣(4),查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.regional.bcr,確認
表5,P003-00,建蔽率,+0.00%,比準地 P001-00 稍劣(4) ／ 比較標的 稍劣(4),查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.regional.bcr,確認
表5,P004-00,建蔽率,+0.00%,比準地 P001-00 稍劣(4) ／ 比較標的 稍劣(4),查表：5級，最大±10.0%，級距 2.5%；(4-4)×2.5,shulin.regional.bcr,確認
表5,P002-00,容積率,+6.25%,比準地 P001-00 普通(3) ／ 比較標的 稍劣(4),查表：5級，最大±25.0%，級距 6.25%；(4-3)×6.25,shulin.regional.far,確認
表5,P003-00,容積率,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±25.0%，級距 6.25%；(3-3)×6.25,shulin.regional.far,確認
表5,P004-00,容積率,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±25.0%，級距 6.25%；(3-3)×6.25,shulin.regional.far,確認
表5,P002-00,有無禁止建築,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±50.0%，級距 50.0%；(1-1)×50.0,shulin.regional.build_ban,確認
表5,P003-00,有無禁止建築,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±50.0%，級距 50.0%；(1-1)×50.0,shulin.regional.build_ban,確認
表5,P004-00,有無禁止建築,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：2級，最大±50.0%，級距 50.0%；(1-1)×50.0,shulin.regional.build_ban,確認
表5,P002-00,有無限制建築（整體開發、面積限制、高度限制……等）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：3級，最大±50.0%，級距 25.0%；(1-1)×25.0,shulin.regional.build_restrict,確認
表5,P003-00,有無限制建築（整體開發、面積限制、高度限制……等）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：3級，最大±50.0%，級距 25.0%；(1-1)×25.0,shulin.regional.build_restrict,確認
表5,P004-00,有無限制建築（整體開發、面積限制、高度限制……等）,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：3級，最大±50.0%，級距 25.0%；(1-1)×25.0,shulin.regional.build_restrict,確認
表5,P002-00,主要道路寬度,+15.00%,比準地 P001-00 優(1) ／ 比較標的 劣(5),查表：5級，最大±15.0%，級距 3.75%；(5-1)×3.75,shulin.regional.main_road_width,確認
表5,P003-00,主要道路寬度,+11.25%,比準地 P001-00 優(1) ／ 比較標的 稍劣(4),查表：5級，最大±15.0%，級距 3.75%；(4-1)×3.75,shulin.regional.main_road_width,確認
表5,P004-00,主要道路寬度,+11.25%,比準地 P001-00 優(1) ／ 比較標的 稍劣(4),查表：5級，最大±15.0%，級距 3.75%；(4-1)×3.75,shulin.regional.main_road_width,確認
表5,P002-00,區段內道路平均寬度,+6.00%,比準地 P001-00 普通(3) ／ 比較標的 劣(5),查表：5級，最大±12.0%，級距 3.0%；(5-3)×3.0,shulin.regional.avg_road_width,確認
表5,P003-00,區段內道路平均寬度,+6.00%,比準地 P001-00 普通(3) ／ 比較標的 劣(5),查表：5級，最大±12.0%，級距 3.0%；(5-3)×3.0,shulin.regional.avg_road_width,確認
表5,P004-00,區段內道路平均寬度,+6.00%,比準地 P001-00 普通(3) ／ 比較標的 劣(5),查表：5級，最大±12.0%，級距 3.0%；(5-3)×3.0,shulin.regional.avg_road_width,確認
表5,P002-00,區段內道路規劃及闢建程度,+2.50%,比準地 P001-00 稍優(2) ／ 比較標的 普通(3),查表：5級，最大±10.0%，級距 2.5%；(3-2)×2.5,shulin.regional.road_dev,確認
表5,P003-00,區段內道路規劃及闢建程度,-2.50%,比準地 P001-00 稍優(2) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-2)×2.5,shulin.regional.road_dev,確認
表5,P004-00,區段內道路規劃及闢建程度,-2.50%,比準地 P001-00 稍優(2) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-2)×2.5,shulin.regional.road_dev,確認
表5,P002-00,日照,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.sunlight,確認
表5,P003-00,日照,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.sunlight,確認
表5,P004-00,日照,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.sunlight,確認
表5,P002-00,景觀,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±5.0%，級距 1.25%；(3-3)×1.25,shulin.regional.view,確認
表5,P003-00,景觀,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±5.0%，級距 1.25%；(3-3)×1.25,shulin.regional.view,確認
表5,P004-00,景觀,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±5.0%，級距 1.25%；(3-3)×1.25,shulin.regional.view,確認
表5,P002-00,傾斜度,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±15.0%，級距 3.75%；(1-1)×3.75,shulin.regional.slope,確認
表5,P003-00,傾斜度,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±15.0%，級距 3.75%；(1-1)×3.75,shulin.regional.slope,確認
表5,P004-00,傾斜度,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±15.0%，級距 3.75%；(1-1)×3.75,shulin.regional.slope,確認
表5,P002-00,排水之良否,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±10.0%，級距 2.5%；(3-3)×2.5,shulin.regional.drainage,確認
表5,P003-00,排水之良否,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±10.0%，級距 2.5%；(3-3)×2.5,shulin.regional.drainage,確認
表5,P004-00,排水之良否,+0.00%,比準地 P001-00 普通(3) ／ 比較標的 普通(3),查表：5級，最大±10.0%，級距 2.5%；(3-3)×2.5,shulin.regional.drainage,確認
表5,P002-00,地勢,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.terrain,確認
表5,P003-00,地勢,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.terrain,確認
表5,P004-00,地勢,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.terrain,確認
表5,P002-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.land_improve,確認
表5,P003-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.land_improve,確認
表5,P004-00,建築基地改良（整平或填挖基地、開挖水溝、水土保持、鋪築道路、埋設管道、修築駁嵌等）或其他改良,+0.00%,比準地 P001-00 優(1) ／ 比較標的 優(1),查表：5級，最大±10.0%，級距 2.5%；(1-1)×2.5,shulin.regional.land_improve,確認
表5,P002-00,其他影響因素,+0.00%,doc/題目.pdf 表5-1 原已填載「無」,非推導值，逕予採用,shulin.regional.other,源文件已載
表5,P003-00,其他影響因素,+0.00%,doc/題目.pdf 表5-1 原已填載「無」,非推導值，逕予採用,shulin.regional.other,源文件已載
表5,P004-00,其他影響因素,+0.00%,doc/題目.pdf 表5-1 原已填載「無」,非推導值，逕予採用,shulin.regional.other,源文件已載
表4,P002-00,調整至估價基準日單價,"137,925","土地正常單價 130,167 × (1 + 5.96%)","= 137,924.95（表上值經進位）",手冊 伍、六(四),驗算相符
表4,P003-00,調整至估價基準日單價,"140,808","土地正常單價 135,275 × (1 + 4.09%)","= 140,807.75（表上值經進位）",手冊 伍、六(四),驗算相符
表4,P004-00,調整至估價基準日單價,"180,292","土地正常單價 170,909 × (1 + 5.49%)","= 180,291.90（表上值經進位）",手冊 伍、六(四),驗算相符
表4,P002-00,7面積,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.area,資料不足
表4,P003-00,7面積,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.area,資料不足
表4,P004-00,7面積,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.area,資料不足
表4,P002-00,8寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.width,資料不足
表4,P003-00,8寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.width,資料不足
表4,P004-00,8寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.width,資料不足
表4,P002-00,9深度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.depth,資料不足
表4,P003-00,9深度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.depth,資料不足
表4,P004-00,9深度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.depth,資料不足
表4,P002-00,10形狀,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.shape,資料不足
表4,P003-00,10形狀,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.shape,資料不足
表4,P004-00,10形狀,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.shape,資料不足
表4,P002-00,11臨街情形,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.street_frontage,資料不足
表4,P003-00,11臨街情形,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.street_frontage,資料不足
表4,P004-00,11臨街情形,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：地籍圖／土地登記（面積、寬度、深度、形狀、臨街情形）＋現場勘查（地勢）；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須就該買賣實例宗地另行勘查（表1-1 僅載坐落、面積、交易日期、正常單價）,shulin.individual.street_frontage,資料不足
表4,P002-00,12地勢,+0.00%,表3 區段層級「地勢」；宗地地勢未經個別勘查，屬區段推定：極平坦堅硬；比準地「極平坦堅硬」／比較標的「極平坦堅硬」,查表：2級，最大±10.0%，級距 10.0%；(1-1)×10.0,shulin.individual.terrain,推定
表4,P003-00,12地勢,+0.00%,表3 區段層級「地勢」；宗地地勢未經個別勘查，屬區段推定：極平坦堅硬；比準地「極平坦堅硬」／比較標的「極平坦堅硬」,查表：2級，最大±10.0%，級距 10.0%；(1-1)×10.0,shulin.individual.terrain,推定
表4,P004-00,12地勢,+0.00%,表3 區段層級「地勢」；宗地地勢未經個別勘查，屬區段推定：極平坦堅硬；比準地「極平坦堅硬」／比較標的「極平坦堅硬」,查表：2級，最大±10.0%，級距 10.0%；(1-1)×10.0,shulin.individual.terrain,推定
表4,P002-00,13道路種類,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.road_type,資料不足
表4,P003-00,13道路種類,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.road_type,資料不足
表4,P004-00,13道路種類,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.road_type,資料不足
表4,P002-00,14面前道路寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.front_road_width,資料不足
表4,P003-00,14面前道路寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.front_road_width,資料不足
表4,P004-00,14面前道路寬度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查：道路種類、面前道路名稱與寬度；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.front_road_width,資料不足
表4,P002-00,15接近學校之程度,—,表4 條件欄留白,表4 條件欄留白，且表3 無對應之宗地層級資料；上游：現場勘查實地量距：設施名稱＋距離(M)；比準地（宗地流水號0003，在徵收範圍內）可由表7 宗地個別因素清冊同編號欄位取得；比較標的須另行勘查,shulin.individual.near_school,資料不足
